2020-11-26 09:36:53 |        train.py |   DEBUG | train_one_epoch | 위권_NNB의 8번째 의미가 [1, 2, 3]에 포함되지 않아 학습되지 않습니다.
2020-11-26 09:50:53 |        train.py |   DEBUG | train_one_epoch | 유형_NNG의 22번째 의미가 [1, 2, 3, 4, 5, 6, 7, 8]에 포함되지 않아 학습되지 않습니다.
2020-11-26 09:54:00 |        train.py |   DEBUG | train_one_epoch | 사망률_NNG의 4번째 의미가 [1, 2]에 포함되지 않아 학습되지 않습니다.
2020-11-26 10:01:35 |        train.py |   DEBUG | train_one_epoch | 위권_NNB의 8번째 의미가 [1, 2, 3]에 포함되지 않아 학습되지 않습니다.
2020-11-26 10:39:22 |        train.py |   DEBUG | train_one_epoch | 사망률_NNG의 4번째 의미가 [1, 2]에 포함되지 않아 학습되지 않습니다.
2020-11-26 10:41:23 |        train.py |   DEBUG | train_one_epoch | 유형_NNG의 22번째 의미가 [1, 2, 3, 4, 5, 6, 7, 8]에 포함되지 않아 학습되지 않습니다.
2020-11-26 10:48:18 |        train.py |   DEBUG | train_one_epoch | 유형_NNG의 22번째 의미가 [1, 2, 3, 4, 5, 6, 7, 8]에 포함되지 않아 학습되지 않습니다.
2020-11-26 10:50:14 |        train.py |   DEBUG | train_one_epoch | 유형_NNG의 22번째 의미가 [1, 2, 3, 4, 5, 6, 7, 8]에 포함되지 않아 학습되지 않습니다.
2020-11-26 11:02:27 |        train.py |   DEBUG | train_one_epoch | 유형_NNG의 22번째 의미가 [1, 2, 3, 4, 5, 6, 7, 8]에 포함되지 않아 학습되지 않습니다.
2020-11-26 11:15:20 |        train.py |   DEBUG | train_one_epoch | 위권_NNB의 8번째 의미가 [1, 2, 3]에 포함되지 않아 학습되지 않습니다.
2020-11-26 11:17:46 |        train.py |   DEBUG | train_one_epoch | 위권_NNB의 8번째 의미가 [1, 2, 3]에 포함되지 않아 학습되지 않습니다.
2020-11-26 11:22:10 |        train.py |   DEBUG | train_one_epoch | 사망률_NNG의 4번째 의미가 [1, 2]에 포함되지 않아 학습되지 않습니다.
2020-11-26 11:44:33 |        train.py |    INFO | train_one_epoch | Save checkpoint at 6746-th iteration.
2020-11-26 11:44:33 |        train.py |    INFO | train_one_epoch | Loss at save checkpoint is 21.6564
2020-11-26 11:50:19 |        train.py |   DEBUG | train_one_epoch | 위권_NNB의 8번째 의미가 [1, 2, 3]에 포함되지 않아 학습되지 않습니다.
2020-11-26 11:53:32 |        train.py |   DEBUG | train_one_epoch | 사망률_NNG의 4번째 의미가 [1, 2]에 포함되지 않아 학습되지 않습니다.
2020-11-26 11:53:34 |        train.py |   DEBUG | train_one_epoch | 사망률_NNG의 4번째 의미가 [1, 2]에 포함되지 않아 학습되지 않습니다.
2020-11-26 11:54:57 |        train.py |   DEBUG | train_one_epoch | 유형_NNG의 22번째 의미가 [1, 2, 3, 4, 5, 6, 7, 8]에 포함되지 않아 학습되지 않습니다.
2020-11-26 11:58:53 |        train.py |   DEBUG | train_one_epoch | 유형_NNG의 22번째 의미가 [1, 2, 3, 4, 5, 6, 7, 8]에 포함되지 않아 학습되지 않습니다.
2020-11-26 12:14:38 |        train.py |   DEBUG | train_one_epoch | 유형_NNG의 22번째 의미가 [1, 2, 3, 4, 5, 6, 7, 8]에 포함되지 않아 학습되지 않습니다.
2020-11-26 12:18:24 |        train.py |   DEBUG | train_one_epoch | 위권_NNB의 8번째 의미가 [1, 2, 3]에 포함되지 않아 학습되지 않습니다.
2020-11-26 12:23:41 |        train.py |   DEBUG | train_one_epoch | 위권_NNB의 8번째 의미가 [1, 2, 3]에 포함되지 않아 학습되지 않습니다.
2020-11-26 12:36:37 |        train.py |   DEBUG | train_one_epoch | 유형_NNG의 22번째 의미가 [1, 2, 3, 4, 5, 6, 7, 8]에 포함되지 않아 학습되지 않습니다.
2020-11-26 12:51:36 |        train.py |   DEBUG | train_one_epoch | 유형_NNG의 22번째 의미가 [1, 2, 3, 4, 5, 6, 7, 8]에 포함되지 않아 학습되지 않습니다.
2020-11-26 14:29:08 |        train.py |    INFO | train_one_epoch | Save checkpoint at 10119-th iteration.
2020-11-26 14:29:08 |        train.py |    INFO | train_one_epoch | Loss at save checkpoint is 21.0241
2020-11-26 14:58:08 |        train.py |   DEBUG | train_one_epoch | 팽팽_XR의 8번째 의미가 [1, 2, 3, 4, 5, 6, 7]에 포함되지 않아 학습되지 않습니다.
2020-11-26 16:08:44 |        train.py |   DEBUG | train_one_epoch | 팽팽_XR의 8번째 의미가 [1, 2, 3, 4, 5, 6, 7]에 포함되지 않아 학습되지 않습니다.
2020-11-26 16:57:26 |        train.py |   DEBUG | train_one_epoch | 수직적_NNG의 6번째 의미가 [1, 2]에 포함되지 않아 학습되지 않습니다.
2020-11-26 17:03:48 |        train.py |   DEBUG | train_one_epoch | 팽팽_XR의 8번째 의미가 [1, 2, 3, 4, 5, 6, 7]에 포함되지 않아 학습되지 않습니다.
